Epoch,PSNR,SSIM,G_Loss,D_Loss
1,19.088631534576415,0.4831125855445862,33.30306568145752,0.7826920926570893
2,20.007643938064575,0.5240890964865684,20.323515097300213,0.6991191526254018
3,17.621365547180176,0.4879754655063152,17.38529354731242,0.6941135148207347
4,18.78569769859314,0.4891214083880186,15.40398775736491,0.6929777483145396
5,20.774907255172728,0.5310866609215736,13.350004466374715,0.6930074055989583
6,20.085759162902832,0.5311334252357482,15.405923144022625,0.6924587508042653
7,19.56307487487793,0.5075490832328796,13.449926042556763,0.6937065581480663
8,18.407312536239623,0.48862693682312963,13.280069796244304,0.6887118677298228
9,20.328345346450806,0.5292241677641869,14.32455031077067,0.6813734591007232
10,20.803999805450438,0.5426519896835089,12.734237209955852,0.6702798128128051
11,19.36946883201599,0.5270059943199158,11.963906558354696,0.7091900527477264
12,20.158329677581786,0.5208595123142004,11.602138662338257,0.69102716644605
13,20.505301809310915,0.536060393974185,10.60226108233134,0.6910022993882498
14,20.493346071243288,0.5309628676623106,11.925129540761311,0.6949775238831838
15,19.933874130249023,0.5055312689393758,13.120791880289714,0.6876227756341299
16,19.127166509628296,0.4458793140947819,11.24496571222941,0.6847936689853669
17,20.69184069633484,0.5446261204779148,11.736834414800008,0.6805988172690074
18,19.92120475769043,0.5355417855083943,10.810405063629151,0.6846165974934896
19,20.839332342147827,0.5330250203609467,11.844398593902588,0.6619029621283213
20,18.82358980178833,0.5153622031211853,10.941360235214233,0.6790509442488353
21,20.027655506134032,0.53458880931139,11.342872381210327,0.6542800803979237
22,21.130443620681763,0.540951992571354,9.636614720026651,0.6602982600529989
23,19.364800119400023,0.4484130769968033,10.417085361480712,0.6577285508314769
24,20.23614983558655,0.535033455491066,11.759794918696086,0.6193260659774145
25,20.851669359207154,0.527009404450655,10.233492469787597,0.6187213043371836
26,20.51183795928955,0.5184888765215874,11.096422656377156,0.5936222563187281
27,19.962760639190673,0.5399156346917152,9.93612133661906,0.6179158955812454
28,20.608784532547,0.530251468718052,11.135337320963542,0.5632851600646973
29,20.39115915298462,0.5380775220692158,9.74773842493693,0.5845478445291519
30,18.549153757095336,0.487837453186512,10.946299282709758,0.5021663695573807
31,20.346207046508788,0.5429533630609512,10.674836333592733,0.4604402095079422
